Target reaction: r_2051

Down targets	Bio lb	Bio ub	Target lb	Target ub
r_4587	0.000017	0.000017	0.000002	0.000002
r_4588	0.000102	0.000102	0.000011	0.000011
r_4589	0.000052	0.000052	0.000006	0.000006
r_4590	0.000216	0.000216	0.000024	0.000024
r_4591	0.000059	0.000059	0.000007	0.000007
r_4592	0.000098	0.000098	0.000011	0.000011
r_4598	0.079177	0.079177	0.008797	0.008797
r_4599	0.079177	0.079177	0.008797	0.008797

Up targets	Bio lb	Bio ub	Target lb	Target ub
r_0013	0.000000	0.202283	0.370461	0.511207
r_0026	0.000000	0.202283	0.370461	0.511207
r_0075	0.000000	0.202283	0.370461	0.511207
r_0086	0.000000	0.202282	0.370461	0.511207
r_0087	0.000000	0.202282	0.370461	0.511207
r_0145	0.000000	0.202282	0.370461	0.511207
r_0817	0.000000	0.097253	0.370461	0.458742
r_1001	0.000000	0.046959	0.370461	0.397299
r_1622	-0.000001	-0.000001	-0.000000	0.000000
r_1745	-0.000005	-0.000005	-0.000001	-0.000001
r_1748	-0.056290	-0.056290	-0.006254	-0.006254
r_1812	-0.000005	-0.000005	-0.000001	-0.000001
r_1813	-0.000005	-0.000005	-0.000001	-0.000001
r_1861	-0.000002	-0.000002	-0.000000	-0.000000
r_1932	-0.056290	-0.056290	-0.006254	-0.006254
r_1992	-2.612747	-1.895915	-1.733797	-1.123291
r_2020	-0.000287	-0.000287	-0.000032	-0.000032
r_2049	-0.000314	-0.000314	-0.000035	-0.000035
r_2051	0.000000	0.046959	0.370461	0.370461
r_4593	-0.000102	-0.000102	-0.000011	-0.000011
r_4594	-0.000052	-0.000052	-0.000006	-0.000006
r_4595	-0.000216	-0.000216	-0.000024	-0.000024
r_4596	-0.000059	-0.000059	-0.000007	-0.000007
r_4597	-0.000098	-0.000098	-0.000011	-0.000011
r_4600	-0.000017	-0.000017	-0.000002	-0.000002
