genes	enzymes	shortNames	MWs	actions	k_scores	OE	minUsage	maxUsage	pUsage
YNL036W	P53615	NCE103	24.85889	1	4.90755668955167	2	0	0.00360506002400511	3.48250623220818e-10
YKL069W	P36088	YKL069W	19.73402	1	4.15662604791059	2	3.1284839569154e-07	0.00454160374594432	3.13251820924702e-07
YER023W	P32263	PRO3	30.13145	2	3.74272191667038	2	6.23978888173178e-09	6.24950115160132e-09	6.24006547752955e-09
YAL038W	P00549	CDC19	54.54404	2	3.72222823132921	2	0	2.26927488310903e-06	2.26922517257778e-06
YGR254W	P00924	ENO1	46.81564	1	3.72222823132921	2	0	0.00191656168887438	2.2889547637034e-06
YHR174W	P00925	ENO2	46.91368	1	3.72222823132921	2	0	0.00191255401730554	0
YKL152C	P00950	GPM1	27.60828	1	3.72222823132921	2	0	0.0032466457590197	0
YOR347C	P52489	PYK2	55.19478	1	3.72222823132921	2	0	2.26927488310903e-06	0
YMR323W	P42222	ERR3	47.31216	1	3.72222823132921	2	0	0.00189644500576314	0
YOR393W	P0CX10	ERR1	47.32712	1	3.72222823132921	2	0	0.00189584794761712	0
YPL281C	P0CX11	ERR2	47.32712	1	3.72222823132921	2	0	0.00189584794761712	0
YOR283W	Q12040	YOR283W	26.17622	1	3.72222823132921	2	0	0.00342426975989762	6.32004569057557e-07
YLR157C	P0CX77	ASP3-2	38.6862	1	3.57350697418899	2	0	1.49982225540717e-06	0
YLR158C	P0CX78	ASP3-3	38.6862	1	3.57350697418899	2	0	1.49982225540717e-06	0
YLR160C	P0CX79	ASP3-4	38.6862	2	3.57350697418899	2	0	1.49982225540717e-06	1.49656705300731e-06
YLR155C	P0CZ17	ASP3-1	38.6862	1	3.57350697418899	2	0	1.49982225540717e-06	0
YGL080W		MPC1	NaN	1	3.52561831575852	2	NaN	NaN	NaN
YGR243W		MPC3	NaN	1	3.52561831575852	2	NaN	NaN	NaN
YHR162W		MPC2	NaN	1	3.52561831575852	2	NaN	NaN	NaN
YJR051W	P21375	OSM1	55.06455	1	2.87302271844598	2	0	0.00162751750864173	1.40561326448591e-08
YML120C	P32340	NDI1	57.24915	1	1.45182967054467	2	0	9.28713535944081e-05	1.16692491116202e-06
YKL029C	P36013	MAE1	74.37529	2	1.42346982031695	2	6.44022915445547e-08	6.46524618936769e-08	6.44080827368942e-08
YJL052W	P00360	TDH1	35.74956	1	1.33359950690384	2	0	0.00252497416457181	1.8153763475548e-05
YCR012W	P00560	PGK1	44.73787	1	1.33359950690384	2	9.80909737398524e-07	0.00200415555629293	9.8091888189489e-07
YGR192C	P00359	TDH3	35.74626	1	1.33359950690384	2	0	0.00252520726323498	0
YJR009C	P00358	TDH2	35.84645	1	1.33359950690384	2	0	0.00251815569746962	0
YDR050C	P00942	TPI1	26.79508	1	1.33332247515386	2	3.03876732850724e-08	0.00334459064783658	3.03882729854349e-08
YGR240C	P16861	PFK1	107.96906	1	1.32104939630097	2	0	4.10651137122492e-07	0
YKL060C	P14540	FBA1	39.62024	1	1.32104939630097	2	0	0.00226520836437247	0
YMR205C	P16862	PFK2	104.61673	2	1.32104939630097	2	4.10631034486919e-07	7.38481289973929e-07	7.38449726189645e-07
YLR354C	P15019	TAL1	37.0359	1	1.30849768635239	2	0	0.00242327603019305	3.52042519819675e-06
YGR043C	P53228	NQM1	37.25314	1	1.30849768635239	2	0	0.0024091473924755	0
YBR196C	P12709	PGI1	61.29832	1	1.1870828204586	2	3.91910213689467e-07	0.00146238721950696	3.91917662784338e-07
YAL012W	P31373	CYS3	42.5416	1	1.0435155049468	2	0	0.00210667120085425	0
YGL184C	P53101	STR3	51.82796	1	1.0435155049468	2	0	3.18383720719529e-05	0
YFR055W	P43623	IRC7	36.97108	1	1.0435155049468	2	0	3.18383720719538e-05	6.04971550670396e-06
YDR516C	Q04409	EMI2	55.92028	2	1.00082638310567	2	1.86156055108173e-07	1.86185316076735e-07	1.86178e-07
YDL085W	Q07500	NDE2	61.65854	0	0.150331104512844	0	0	8.02623463467453e-05	3.76477687322439e-07
YMR145C	P40215	NDE1	62.77345	0	0.150331104512844	0	0	8.01836621312642e-05	0
YER141W	P40086	COX15	54.65792	0	0.149704166666667	0	0	2.3847993981e-13	2.3847993981e-13
YJL130C	P07259	URA2	245.03829	0	0.138237225795465	0	1.71504375622907e-09	1.7161627543535e-09	1.71504375622908e-09
YMR246W	P47912	FAA4	77.26612	0	0.124552913307934	0	0	0.00115995273984828	9.31554931633844e-08
YOR317W	P30624	FAA1	77.86529	0	0.124552913307934	0	0	0.00115102650850109	0
YJR109C	P03965	CPA2	123.91392	0	0.115957811105925	0	2.32425929873897e-10	2.33545098227488e-10	2.32425929873897e-10
YOR303W	P07258	CPA1	45.36103	0	0.115957811105925	0	2.32425929873897e-10	2.33545098227488e-10	2.32425929873897e-10
YBR263W	P37292	SHM1	53.68589	0	0.107897146540251	0	1.30121076062073e-06	0.00167060056146389	1.3014403238764e-06
YDR503C	Q04396	LPP1	31.58604	0	0.107871352108417	0	0	6.05765087667954e-10	4.9474106999704e-10
YAL044C	P39726	GCV3	18.79276	0	0.053948519720867	0	1.25086065407063e-08	6.7101095756996e-08	1.25088809974822e-08
YDR019C	P48015	GCV1	44.46849	0	0.053948519720867	0	1.25086065407063e-08	6.7101095756996e-08	1.25088809974822e-08
YMR189W	P49095	GCV2	114.45033	0	0.0539485197208663	0	1.25086065407063e-08	6.7101095756996e-08	1.25088809974822e-08
YLR058C	P37291	SHM2	52.21793	0	0.00157694097596586	0	6.30020970286077e-08	0.00171629133141417	6.32446655507687e-08
YGR180C	P49723	RNR4	40.05407	0	0.00130474727853469	0	0	1.26929847276308e-07	2.1098478507324e-08
YER070W	P21524	RNR1	99.56021	0	0.00111725406724919	0	0	1.26929847273852e-07	0
YIL066C	P21672	RNR3	97.51369	0	0.00111725406724919	0	0	1.26929847273529e-07	0
YJL026W	P09938	RNR2	46.14681	0	0.00111725406724919	0	0	1.26929847276029e-07	0
YBR115C	P07702	LYS2	155.34394	0	0	0	0	4.56110658704655e-12	0
YCL009C	P25605	ILV6	33.98652	0	0	0	0	4.15116330838161e-11	0
YCL018W	P04173	LEU2	38.95257	0	0	0	0	8.15072259645091e-11	0
YCL040W	P17709	GLK1	55.37689	0	0	0	0	1.19514101185842e-10	0
YDL066W	P21954	IDP1	48.18986	0	0	0	0	1.67075341888985e-10	0
YDL131W	Q12122	LYS21	48.59372	0	0	0	0	3.08262620551049e-10	0
YDR148C	P19262	KGD2	50.43011	0	0	0	0	7.40059670380188e-07	0
YDR234W	P49367	LYS4	75.14989	0	0	0	0	0.00119252090297063	0
YDR300C	P32264	PRO1	47.16164	0	0	0	0	3.15981570733962e-10	0
YER069W	Q01217	ARG5,6	94.86823	0	0	0	0	1.70112989363278e-09	0
YER081W	P40054	SER3	51.1927	0	0	0	0	1.75491845103173e-11	0
YER091C	P05694	MET6	85.85892	0	0	0	0	3.11874207717266e-09	0
YER152C	P10356	YER152C	49.48976	0	0	0	0	0.00181083428526752	0
YFR053C	P04806	HXK1	53.73784	0	0	0	0	1.19514101230188e-10	0
YGL009C	P07264	LEU1	85.79356	0	0	0	0	0.00104457471975121	0
YGL125W	P53128	MET13	68.55958	0	0	0	0	6.82120447573117e-11	0
YGL154C	P50113	LYS5	30.68281	0	0	0	0	4.56110658704655e-12	0
YGL253W	P04807	HXK2	53.9419	0	0	0	0	2.58459750508934e-10	0
YGR208W	P42941	SER2	34.20684	0	0	0	0	6.78727740949064e-12	0
YHR002W		LEU5	NaN	0	0	0	NaN	NaN	NaN
YHR018C	P04076	ARG4	51.9886	0	0	0	0	0.00172379765200508	0
YIL074C	P40510	SER33	51.18777	0	0	0	0	1.75491845103173e-11	0
YIL094C	P40495	LYS12	40.06854	0	0	0	0	1.11864414274657e-11	0
YIL125W	P20967	KGD1	114.41496	0	0	0	0	7.40059670380188e-07	0
YIR034C	P38998	LYS1	41.46445	0	0	0	0	1.01169095993339e-11	0
YJL060W	P47039	BNA3	50.08168	0	0	0	0	0.00178943259974677	0
YJL088W	P05150	ARG3	37.84479	0	0	0	0	1.99675279406709e-11	0
YJR016C	P39522	ILV3	62.86049	0	0	0	0	2.67334310063399e-11	0
YLR355C	P06168	ILV5	44.36792	0	0	0	0	6.82080402650533e-10	0
YMR062C	Q04728	ARG7	47.84821	0	0	0	0	0.00187296127519132	0
YMR108W	P07342	ILV2	74.93608	0	0	0	0	4.15179480132128e-11	0
YMR241W		YHM2	NaN	0	0	0	NaN	NaN	NaN
YNL037C	P28834	IDH1	39.32357	0	0	0	0	5.45779765655055e-10	0
YNL104C	P06208	LEU4	68.40819	0	0	0	0	5.34908684769547e-11	0
YNR050C	P38999	LYS9	48.91735	0	0	0	0	5.80279265410026e-13	0
YOL058W	P22768	ARG1	46.92715	0	0	0	0	0.00190972030317242	0
YOL140W	P18544	ARG8	46.68082	0	0	0	0	4.22538032737673e-09	0
YOR130C		ORT1	NaN	0	0	0	NaN	NaN	NaN
YOR136W	P28241	IDH2	39.73903	0	0	0	0	5.45779765655055e-10	0
YOR184W	P33330	SER1	43.41501	0	0	0	0	2.191879737704e-09	0
YOR323C	P54885	PRO2	49.73991	0	0	0	0	4.09605934595866e-11	0
YOR388C	Q08911	FDH1	41.7138	0	0	0	0	1.05634743698272e-10	0
YPL023C	P46151	MET12	73.94088	0	0	0	0	6.82224215525196e-11	0
YPR021C		AGC1	NaN	0	0	0	NaN	NaN	NaN
YLR446W	Q06204	YLR446W	48.96875	0	0	0	0	1.96088523841405e-08	0
YJL200C	P39533	ACO2	86.58224	0	0	0	0	0.00103899712406378	0
