genes	enzymes	shortNames	MWs	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage	unique	conectivity	groups	priority
YPR035W	P32288	GLN1	41.7656	2	1.50824845325802	tightly_const	2	5.81335265678259e-07	5.81437213392589e-07	5.81335265678227e-07	1	7	0	1
YDR353W	P29509	TRR1	34.23767	2	1.49094161729317	tightly_const	2	8.23486367279459e-08	8.23734519978646e-08	8.23486367279459e-08	1	6	0	1
YOL126C	P22133	MDH2	40.7305	1	1.44258156126331	essential	2	4.66736499936402e-09	0.00187824656153493	4.66784097888735e-09	1	5	0	1
YLL018C	P04802	DPS1	63.51479	2	1.41194037971879	tightly_const	2	1.74272338332165e-06	1.74272407180857e-06	1.74272338332165e-06	1	6	0	1
YDR341C	Q05506	YDR341C	69.5242	2	1.40556054472047	tightly_const	2	3.51095847032971e-07	3.51095986235184e-07	3.51095847032971e-07	1	6	0	1
YHR018C	P04076	ARG4	51.9886	1	1.40556054472047	essential	2	2.14492157318822e-09	0.00147151185418204	2.14492157318822e-09	1	3	0	1
YJL088W	P05150	ARG3	37.84479	2	1.40556054472047	tightly_const	2	7.66416240631771e-08	7.66484269645659e-08	7.66416240631771e-08	1	5	0	1
YOL058W	P22768	ARG1	46.92715	1	1.40556054472047	essential	2	3.64283745787056e-07	0.00163058584859013	3.64283745787056e-07	1	7	0	1
YBR221C	P32473	PDB1	40.0532	2	1.31167960083967	tightly_const	2	1.10662074982421e-06	1.10672159623664e-06	1.10666010680948e-06	0	6	18	1
YER178W	P16387	PDA1	46.34261	2	1.31167960083967	tightly_const	2	1.10662074982421e-06	1.10672159623664e-06	1.10666010680948e-06	0	6	18	1
YGR193C	P16451	PDX1	45.36125	2	1.31167960083967	tightly_const	2	1.10662074982421e-06	1.10672159623664e-06	1.10666010680948e-06	0	6	18	1
YNL071W	P12695	LAT1	51.81762	2	1.31167960083967	tightly_const	2	1.10662074982421e-06	1.10672159623664e-06	1.10666010680948e-06	0	6	18	1
YBR115C	P07702	LYS2	155.34394	2	1.2839295387878	tightly_const	2	2.500744901492e-07	2.50076956819114e-07	2.500744901492e-07	0	8	19	1
YDL131W	Q12122	LYS21	48.59372	2	1.2839295387878	tightly_const	2	1.69012970343205e-05	1.69014637443306e-05	1.69012970343205e-05	1	6	0	1
YDR037W	P15180	KRS1	67.95785	2	1.2839295387878	tightly_const	2	2.28186111612525e-07	2.28186208716337e-07	2.28186111612525e-07	1	6	0	1
YDR234W	P49367	LYS4	75.14989	1	1.2839295387878	essential	2	4.17123681946391e-06	0.00102633096671417	8.34247363892782e-06	1	6	0	1
YGL154C	P50113	LYS5	30.68281	2	1.2839295387878	tightly_const	2	2.500744901492e-07	2.50076956819114e-07	2.500744901492e-07	0	8	19	1
YIL094C	P40495	LYS12	40.06854	2	1.2839295387878	tightly_const	2	6.13418945976171e-07	6.13424992702937e-07	6.13418945976171e-07	1	6	0	1
YIR034C	P38998	LYS1	41.46445	2	1.2839295387878	tightly_const	2	5.5468578720655e-07	5.54691258483284e-07	5.5468578720655e-07	1	7	0	1
YNR050C	P38999	LYS9	48.91735	2	1.2839295387878	tightly_const	2	3.18153147508855e-08	3.18156285688972e-08	3.18153147508855e-08	1	7	0	1
YGL245W	P46655	GUS1	80.84187	2	1.27374022775852	tightly_const	2	7.86257538765692e-06	7.86257875422503e-06	7.86257538765692e-06	1	6	0	1
YMR267W	P28239	PPA2	35.57213	2	1.26350130962406	tightly_const	2	1.04249506866122e-06	1.04254484351874e-06	1.04252609704549e-06	1	4	0	1
YOR335C	P40825	ALA1	110.05785	2	1.25386458855898	tightly_const	2	1.36783862904384e-07	1.36783922148584e-07	1.36783862904384e-07	1	6	0	1
YGR264C	P00958	MES1	85.67702	2	1.14448281924871	tightly_const	2	4.12696126234157e-06	4.12696317971501e-06	4.12696126234157e-06	1	6	0	1
YNL220W	P80210	ADE12	48.27868	2	1.11648042323028	tightly_const	2	6.24516913392537e-07	6.24872129612285e-07	6.24516913392512e-07	1	7	0	1
YPL262W	P08417	FUM1	53.15125	1	1.06735986647989	essential	2	1.04827897091477e-08	0.00143933052707198	1.04831392335322e-08	1	6	0	1
YCR012W	P00560	PGK1	44.73787	1	1.03265846964353	essential	2	7.9547345158363e-07	0.0017107937442138	7.95473451583647e-07	1	4	0	1
YJR109C	P03965	CPA2	123.91392	2	1.01832337475544	tightly_const	2	2.83728040575689e-09	2.8376394803537e-09	2.83728040575689e-09	0	9	23	1
YOR303W	P07258	CPA1	45.36103	2	1.01832337475544	tightly_const	2	2.83728040575689e-09	2.8376394803537e-09	2.83728040575689e-09	0	9	23	1
YDR516C	Q04409	EMI2	55.92028	2	1.00017078484895	essential	2	3.41276592901608e-08	1.86179439461886e-07	1.86076579137756e-07	1	4	0	1
YHR163W	P38858	SOL3	27.78417	2	5.95043517776535	opt_isoenz_tight	2	0	1.16729543194273e-05	1.16726347015482e-05	0	5	2	2
YHR183W	P38720	GND1	53.54274	2	5.95043517776535	opt_isoenz_tight	2	0	3.20685401218694e-06	3.20676620511836e-06	0	6	3	2
YPR145W	P49089	ASN1	64.46973	2	3.62539840578872	opt_isoenz_tight	2	0	5.2567930974619e-06	5.25616102097175e-06	0	10	4	2
YHR011W	P38705	DIA4	50.38946	2	3.41698979051699	opt_isoenz_tight	2	0	3.95916954798398e-06	3.95916881087712e-06	0	7	5	2
YBR249C	P32449	ARO4	39.74874	2	3.06722110134923	opt_isoenz_tight	2	0	1.637857621442e-07	1.63783071973703e-07	0	12	6	2
YPR081C	Q06817	GRS2	71.01765	2	2.41511541445151	opt_isoenz_tight	2	0	1.11922596890421e-06	1.11922568589199e-06	0	7	8	2
YER086W	P00927	ILV1	63.83052	2	1.71123514854468	opt_isoenz_tight	2	0	3.88606984132436e-08	3.88601313107062e-08	1	3	0	2
YGL062W	P11154	PYC1	130.09827	2	1.58023582070414	opt_isoenz_tight	2	0	1.62128415716054e-06	1.6207554124687e-06	0	8	13	2
YNR001C	P00890	CIT1	53.35945	2	1.53338781254414	opt_isoenz_tight	2	0	3.02247960524169e-07	3.02217542217801e-07	1	7	0	2
YAL038W	P00549	CDC19	54.54404	2	1.39060126605938	opt_isoenz_tight	2	0	1.12995609211956e-06	1.129937576979e-06	0	6	15	2
YER099C	P38620	PRS2	34.76468	2	1.10722919794954	opt_isoenz_tight	2	0	1.27066968201088e-05	1.27040919063159e-05	0	6	20	2
YKL181W	P32895	PRS1	47.04715	2	1.10722919794954	opt_isoenz_tight	2	0	1.27066968200859e-05	1.27040919063159e-05	0	6	0	2
YDL052C	P33333	SLC1	33.88654	0	0.270068916633199	subOpt_isoenz	0	0	2.97211162832636e-06	0	1	28	0	2
YNR019W	P53629	ARE2	74.022	0	0.207585680187861	subOpt_isoenz	0	0	0.00103349997114874	0	1	84	0	2
YOR245C	Q08650	DGA1	47.71075	0	0.164378520281792	subOpt_isoenz	0	0	1.01733999414367e-07	0	1	122	0	2
YMR313C	P40308	TGL3	73.61177	0	0	subOpt_isoenz	0	0	7.74712695401077e-09	0	1	93	0	2
YNR008W	P40345	LRO1	75.39242	0	-0	subOpt_isoenz	0	0	0.00101471412791954	0	1	48	0	2
YDR300C	P32264	PRO1	47.16164	2	1000	opt_isoenz	2	0	1.86630818702859e-09	1.51086593232172e-09	1	4	0	3
YOR323C	P54885	PRO2	49.73991	2	1000	opt_isoenz	2	0	2.4192894826448e-10	1.95853084014297e-10	1	6	0	3
YPR074C	P23254	TKL1	73.80488	1	28.0990756058917	opt_isoenz	2	0	0.00103749003087909	9.50022864337452e-07	0	10	1	3
YLL058W	Q12198	YLL058W	64.22244	1	2.73639969934766	opt_isoenz	2	0	0.00119124312462837	4.29911686142887e-08	0	16	7	3
YGL202W	P53090	ARO8	56.17728	1	2.09975758709208	opt_isoenz	2	0	0.00136182454761596	2.77268829761069e-08	1	15	0	3
YLR027C	P23542	AAT2	46.05711	1	1.68949667145227	opt_isoenz	2	0	0.00166111905523242	9.9724493755221e-08	1	14	0	3
YOR283W	Q12040	YOR283W	26.17622	1	1.51219784770961	opt_isoenz	2	0	0.00292293094134703	3.62675093336711e-07	1	4	0	3
YGR254W	P00924	ENO1	46.81564	1	1.51219784770961	opt_isoenz	2	0	0.00163542123493517	1.31351405229167e-06	0	5	14	3
YER152C	P10356	YER152C	49.48976	1	1.2839295387878	opt_isoenz	2	0	0.00154581482589758	6.77148834328556e-09	1	6	0	3
YHR137W	P38840	ARO9	58.52706	1	1.25386458855898	opt_isoenz	2	0	0.00130713003424308	1.36783862904384e-08	1	13	0	3
YNL036W	P53615	NCE103	24.85889	1	1.20879941035735	opt_isoenz	2	0	0.00307743840056306	1.2505209594876e-10	1	4	0	3
YJL052W	P00360	TDH1	35.74956	1	1.03265846964353	opt_isoenz	2	0	0.00215465431566614	1.47217442315222e-05	0	8	22	3
