Chemicals	RxnID	Description	Reaction	Gene	Protein	Enzyme	Kcat (1/s)	MW (KDa)	s.a.(µmol/min/mg)	Similar species	_ (h-1)	product yield in vivo	in silico	Medium	OE	deletion	Ref
"Flavonoids (genistein, kaempferol, quercetin)"	1	Phenylalanine ammonia-lyase	s_1032 + 1.26263e-05 prot_P45730 -> s_0419 + s_4219	PAL (Populus trichocarpa)	P45730	4.3.1.24	22	77.919		Petroselinum crispum	0.1	NA	Quercetin 0.00074 g/g	YEP			Metabolic engineering of the complete pathway leading to heterologous biosynthesis of various flavonoids and stilbenoids in Saccharomyces cerevisiae
	2	Cinnamate-4-hydroxylase	s_0794 + s_1275 + s_4219 + s_1212 + 1.7168e-06 prot_C0LUU6 -> s_0803 + s_1207 + s_4215	C4H (Glycine max)	C0LUU6	1.14.13.11	161.8	58.011		Ruta graveolens			Kaempferol 0.00070 g/g				
	3	4-coumarate:CoA ligase	s_4215 + s_0434 + s_0529 + 0.00273242 prot_C0LUU7 -> s_0633 + s_0423 + s_4216	4CL (Glycine max)	C0LUU7	6.2.1.12	0.101656667	60.994	0.1				Genistein 0.00049 g/g				Synthesis of p-coumaroyl coenzyme a with a partially purified p-coumarate:CoA ligase from cell suspension cultures of soybean (Glycine max)
	4	Isoflavone synthase	s_4221 + prot_Q9M6D6 -> 3 s_0794 + s_4222	IFS (Glycine max)	Q9M6D6	1.14.14.87	NA	58.93									
	5	Chalcone synthase	2 s_0794 + s_4216 + 3 s_1101 + 0.0462963 prot_Q6X0M9 -> 4 s_0529 + 3 s_0456 + s_4223	CHS (Glycine max)	Q6X0M9	2.3.1.74	0.006019133	42.488	0.0085								
	6	Chalcone isomerase	s_0794 + s_4223 + 1.98629e-06 prot_C0LUV0 -> s_4221	CHI (Glycine max)	C0LUV0	5.5.1.6	139.8476667	24.679	340								
	7	Flavanone 3-hydroxylase	s_4221 + s_1275 + s_0180 + prot_Q53B69 -> s_0456 + s_1458 + s_4224	F3H (Glycine max)	Q53B69	1.14.11.9	NA	42.673									
	8	Flavonoid 3'-hydroxylase	s_0794 + s_1275 + s_1212 + s_4224 + 2.22222e-05 prot_Q8W3Y5 -> s_4225 + s_0803 + s_1207	F3'H (Glycine max)	Q8W3Y5	1.14.13.21	12.5	56.982		Tagetes erecta							
	9	Flavonol synthase	s_4224 + s_0180 + s_1275 + 4.20875e-05 prot_C0LUV3 -> s_0794 + s_0456 + s_0803 + s_1458 + s_4226	FLS (Solanum tuberosum)	C0LUV3	1.14.11.23	6.6	40.041		Zea mays							
	10	Flavonol synthase	s_4225 + s_0180 + s_1275 + 7.12251e-05 prot_C0LUV3 -> s_0794 + s_0456 + s_0803 + s_1458 + s_4227	FLS (Solanum tuberosum)	C0LUV3	1.14.11.23	3.9	40.041		Zea mays							
	11	draw_prot_P45730	77.919 prot_pool  -> prot_P45730														
	12	draw_prot_C0LUU6	58.011 prot_pool  -> prot_C0LUU6														
	13	draw_prot_C0LUU7	60.994 prot_pool  -> prot_C0LUU7														
	14	draw_prot_Q9M6D6	58.93 prot_pool  -> prot_Q9M6D6														
	15	draw_prot_Q6X0M9	42.488 prot_pool  -> prot_Q6X0M9														
	16	draw_prot_C0LUV0	24.679 prot_pool  -> prot_C0LUV0														
	17	draw_prot_Q53B69	42.673 prot_pool  -> prot_Q53B69														
	18	draw_prot_Q8W3Y5	56.982 prot_pool  -> prot_Q8W3Y5														
	19	draw_prot_C0LUV3	40.041 prot_pool  -> prot_C0LUV3														
	20	quercetin trasport	s_4227 -> s_4228														
	21	quercetin exchange	s_4228 ->														
	22	kaempferol transport	s_4226 -> s_4229														
	23	kaempferol exchange	s_4229 ->														
	24	genisteinl transport	s_4222 -> s_4230														
	25	genistein exchange	s_4230 ->														
																	
Trans-cinnamate	1	phenylalanine ammonia-lyase	s_1032 + 1.08085e-05 prot_P11544 -> s_0419 + s_4219	PAL (Rhodosporidium toruloides)	P11544	4.3.1.24	25.7	76.88		Rhodotorula glutinis	0.1	5 _mol/g cell	0.2080 g/g	YEP			Metabolic Engineering of the Phenylpropanoid Pathway in Saccharomyces cerevisiae
	2	draw_prot_P11544	76.88 prot_pool  -> prot_P11544														
	3	cinnamate transport	s_4219 -> s_4220														
	4	cinnamate exchange	s_4220 ->														
																	
p-coumaric acid	1	tyrosine ammonia-lyase	s_1051 + 0.0120773 prot_A5FKY3 -> s_0419 + s_4231	TAL (Flavobacterium johnsoniae)	A5FKY3	4.3.1.23	0.023	56.649			0.1		0.0245 g/g	YEP		"ARO10, PDC5"	Establishment of a yeast platform strain for production of p-coumaric acid through metabolic engineering of aromatic amino acid biosynthesis
	2	3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	s_0551 + s_0803 + s_1360 + 0.00129019 prot_P32449ly  -> s_0349 + s_1322 	ARO4K229L (S. cerevisiae)	P32449ly	2.5.1.54	0.215305458	39.7487	0.325								
	3	chorismate mutase	s_0515 + 0.00207452 prot_P32178ly  -> s_1377 	ARO7G141S (S. cerevisiae)	P32178ly	5.4.99.5	0.1338606	29.7468	0.27								
	4	shikimate kinase	s_0434 + s_1429 + 8.70277e-06 prot_P0A6E1  -> s_0261 + s_0394 + s_0794 	aroL (Escherichia coli)	P0A6E1	2.7.1.71	31.91833333	19.151	100								
	5	draw_prot_A5FKY3	56.649 prot_pool  -> prot_A5FKY3														
	6	draw_prot_P32449ly	39.7487 prot_pool  -> prot_P32449ly														
	7	draw_prot_P32178ly	29.7468 prot_pool  -> prot_P32178ly														
	8	draw_prot_P0A6E1	19.151 prot_pool  -> prot_P0A6E1														
	9	p-coumaric acid transport	s_4231 -> s_4232														
	10	p-coumaric acid exchange	s_4232 ->														
																	
Artemisinic acid	1	amorphadiene synthase	s_0190 + 0.00149343 prot_Q9AR04 -> s_0633 + s_4233	ADS (Artemisia annua)	Q9AR04	4.2.3.24	0.186	63.933			0.1		0.0650 g/g	YEP			Production of the antimalarial drug precursor artemisinic acid in engineered yeast
	2	"Amorpha-4,11-diene 12-monooxygenase"	2 s_0794 + s_4233 + 3 s_1275 + 3 s_1212 + 3.58886e-05 prot_Q1PS23 -> 4 s_0803 + 3 s_1207 + s_4234	CYP71AV1 (Artemisia annua)	Q1PS23	1.14.14.114	7.74	55.725									
	r_0558No1	hydroxymethylglutaryl CoA reductase (No1)	pmet_r_0558 + 3.0013e-06 prot_P12684  -> s_0028 + s_0529 + 2 s_1207 			1.1.1.34	92.5526 (Kcat*2)	115.691							HMG1		
	r_0558No2	hydroxymethylglutaryl CoA reductase (No2)	pmet_r_0558 + 3.00302e-06 prot_P12683  -> s_0028 + s_0529 + 2 s_1207 			1.1.1.34	92.4996 (Kcat*2)	115.624							HMG2		
	r_1012No1	squalene synthase (No1)	2 s_0190 + s_0794 + s_1212 + 0.0003367 prot_P29704  -> 2 s_0633 + s_1207 + s_1447 			2.5.1.21	0.825 (Kcat/2)	51.7193							ERG9: downregulation		
	3	draw_prot_Q9AR04	63.933 prot_pool  -> prot_Q9AR04														
	4	draw_prot_Q1PS23	55.725 prot_pool  -> prot_Q1PS23														
	5	artemisinic acid transport	s_4234 -> s_4235														
	6	artemisinic acid exchange	s_4235 ->														
			 														
_-Carotene	1	geranylgeranyl diphosphate synthase	s_0190 + s_0943 + 3.30688e-05 prot_Q1L6K3 -> s_0633 + s_0189	crtE (Xanthophyllomyces dendrorhous)	Q1L6K3	2.5.1.29	8.4	42.153		Saccharomyces cerevisiae	0.1	5.9 mg/g dry weight	3.7 mg/g dry weight	YEP			High-Level Production of Beta-Carotene in Saccharomyces cerevisiae by Successive Transformation with Carotenogenic Genes from Xanthophyllomyces dendrorhous
	2	Bifunctional lycopene cyclase/phytoene synthase	2 s_0189 + 0.00332827 prot_Q7Z859 -> 2 s_0633 + s_4236	crtYB (Xanthophyllomyces dendrorhous)	Q7Z859	2.5.1.32	0.0834552	74.736	0.067			0.00015 mmol/gDCW/h	0.00069 mmol/gDCW/h				
	3	Phytoene desaturase	s_4236 + 0.925926 prot_Q7Z858 -> s_4237	crtI (Xanthophyllomyces dendrorhous)	Q7Z858	1.3.99.28	0.000314486	65.066	0.00029								
	4	Phytoene desaturase	s_4237 + s_1275 + 0.925926 prot_Q7Z858 -> 2 s_0803 + s_4238	crtI (Xanthophyllomyces dendrorhous)	Q7Z858	1.3.99.28	0.000314486	65.066	0.00029								
	5	Bifunctional lycopene cyclase/phytoene synthase	s_4238 + 0.000626472  prot_Q7Z859 -> s_4239	crtYB (Xanthophyllomyces dendrorhous)	Q7Z859	5.5.1.19	0.4434336	74.736	0.356								
	r_0558No1	hydroxymethylglutaryl CoA reductase (No1)	pmet_r_0558 + 3.0013e-06 prot_P12684  -> s_0028 + s_0529 + 2 s_1207 			1.1.1.34	92.5526 (Kcat*2)	115.691							HMG1		
	6	draw_prot_Q1L6K3	42.153 prot_pool  -> prot_Q1L6K3														
	7	draw_prot_Q7Z859	74.736 prot_pool  -> prot_Q7Z859														
	8	draw_prot_Q7Z858	65.066 prot_pool  -> prot_Q7Z858														
	9	_-carotene transport	s_4239 -> s_4240														
	10	_-carotene exchange	s_4240 ->														
																	
Linalool + Limonene														Min			Engineered protein degradation of farnesyl pyrophosphate synthase is an effective regulatory mechanism to increase monoterpene production in Saccharomyces cerevisiae
	r_0462No1	geranyltranstransferase (No1)	s_0745 + s_0943 + 0.000505051 prot_P08524  -> s_0190 + s_0633 				0.55 (Kcat/2)	40.4829			Linalool: 0.09 Limonene: 0.1		"Linalool: 0.0250 g/g, Limonene: 0.0412 g/g"		downregulation		
	1	monoterpene synthase	s_0745 + s_0803 + 0.00631313 prot_H9M5U5 -> s_0633 + s_4241	NES1 (Actinidia chinensis)	H9M5U5	4.2.3.25	0.044	65.381		Actinidia arguta							
	2	Limonene synthase 	s_0745 + 0.00149343 prot_Q8L5K3 -> s_0633 + s_4243	ClLIS1 (Citrus limon)	Q8L5K3	4.2.3.20	0.186	70.348		Citrus sinensis							
	3	draw_prot_H9M5U5	65.381 prot_pool  -> prot_H9M5U5														
	4	draw_prot_Q8L5K3	70.348 prot_pool  -> prot_Q8L5K3														
	5	linalool transport	s_4241 -> s_4242														
	6	linalool exchange	s_4242 ->														
	7	limonene transport	s_4243 -> s_4244														
	8	limonene exchange	s_4244 ->														
																	
4-hydroxymandelic + mandelic	1	hydroxymandelate synthase	s_0204 + s_1275 + 7.50751e-05 prot_Q5J1Q8 -> s_0456 + s_4245	hmaS (Nocardia uniformis)	Q5J1Q8	1.13.11.46	3.7	36.597		Amycolatopsis orientalis	0.1	"4-hydroxymandelic: 0.064 g/g, mandelic: 0.017g/g"	"4-hydroxymandelic: 0.2213 g/g, mandelic: 0.1749g/g"	Min		"4-hydroxymandelic: PHA2, TRP2, ARO10, PDC5, ARO8; mandelic: TYR1, TRP2, ARO10, PDC5, ARO8"	Engineering of hydroxymandelate synthases and the aromatic amino acid pathway enables de novo biosynthesis of mandelic and 4-hydroxymandelic acid with Saccharomyces cerevisiae
	2	hydroxymandelate synthase	s_0951 + s_1275 + 0.000315657 prot_Q5J1Q8 -> s_0456 + s_4246 + s_0794	hmaS (Nocardia uniformis)	Q5J1Q8	1.13.11.46	0.88	36.597		Streptomyces coelicolor							
	r_0997No1	shikimate dehydrogenase	s_0434 + s_1429 + 2.31481e-06 prot_P08566  -> s_0261 + s_0394 + s_0794 				120 (Kcat*2)	174.753							ARO1		
	3	3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	s_0551 + s_0803 + s_1360 + 0.00129019 prot_P32449ly  -> s_0349 + s_1322 	ARO4K229L (S. cerevisiae)	P32449ly	2.5.1.54	0.215305458	39.7487	0.325								
	4	4-hydroxymandelic transport	s_4245 -> s_4247														
	5	4-hydroxymandelic exchange	s_4247 ->														
	6	mandelic transport	s_4246 -> s_4248														
	7	mandelic exchange	s_4248 ->														
	8	draw_prot_Q5J1Q8	36.597 prot_pool  -> prot_Q5J1Q8														
	9	draw_prot_P32449ly	39.7487 prot_pool  -> prot_P32449ly														
																	
Oleanolic acid	1	Beta-amyrin synthase	s_0037 + 0.00036075 prot_Q9MB42 -> s_4250	GgbAS1 (Glycyrrhiza glabra)	Q9MB42	5.4.99.39	0.77	87.516		Euphorbia tirucalli	0.1	0.016 g/g DCW	6.8505 g/g DCW	YEP		"GAL1, GAL80"	Enhancing oleanolic acid production in engineered Saccharomyces cerevisiae 
	2	Beta-amyrin 28-monooxygenase	2 s_0794 + s_4250 + 3 s_1275 + 3 s_1212 + prot_Q2MJ20 -> 4 s_0803 + s_4251 + 3 s_1207	CYP716A12 (Medicago truncatula)	Q2MJ20	1.14.13.201		54.713				0.00024 mmol/gDCW/h	0.0015 mmol/gDCW/h				
	3	draw_prot_Q9MB42	87.516 prot_pool  -> prot_Q9MB42														
	4	draw_prot_Q2MJ20	54.713 prot_pool  -> prot_Q2MJ20														
	5	oleanolic acid transport	s_4251 -> s_4252														
	6	oleanolic acid exchange	s_4252 ->														
	r_0558No2	hydroxymethylglutaryl CoA reductase (No2)	pmet_r_0558 + 3.00302e-06 prot_P12683  -> s_0028 + s_0529 + 2 s_1207 				92.4996 (Kcat*2)								HMG1		
	r_1010No1	squalene epoxidase (NAD) (No1)	s_0795 + s_1204 + s_1276 + s_1448 + 0.00182749  prot_P32476  -> s_0038 + s_0804 + s_1199 				0.152 (Kcat*2)								ERG1		
	r_1011No1	squalene epoxidase (NADP) (No1)	s_0795 + s_1213 + s_1276 + s_1448 + 0.00182749  prot_P32476  -> s_0038 + s_0804 + s_1208 				0.152 (Kcat*2)								ERG1		
	r_1012No1	squalene synthase (No1)	2 s_0190 + s_0794 + s_1212 + 8.41751e-05 prot_P29704  -> 2 s_0633 + s_1207 + s_1447 				3.3 (Kcat*2)								ERG9		
																	
Fumaric acid	1	malate dehydrogenase	s_0794 + s_1203 + s_1271 +  1.15613e-05 prot_D6R7B7  -> s_0066 + s_1198 	RoMDH (Rhizopus oryzae)	D6R7B7	1.1.1.37	24.026625	35.595	40.5		0.1	0.122-0.197 mol/mol	0.8107 mol/mol	Min		block r_0714_REVNo1 (Mdh2p is known to be subject to glucose catabolite inactivation)	Reconstruction of cytosolic fumaric acid biosynthetic pathways in Saccharomyces cerevisiae
	r_0958No1	pyruvate carboxylase (No1)	pmet_r_0958 + 3.83244e-06 prot_P32327  -> s_0394 + s_0794 + s_1271 + s_1322 				72.48055072	130.166	33.4099						PYC2 (increased specific activity by 20.8%)		
	r_0958No2	pyruvate carboxylase (No2)	pmet_r_0958 + 3.83245e-06 prot_P11154  -> s_0394 + s_0794 + s_1271 + s_1322 				72.48041459	130.098	33.4273						PYC2 (increased specific activity by 20.8%)		
	2	draw_prot_D6R7B7	35.595 prot_pool  -> prot_D6R7B7														
																	
Pyruvate	1	NADH oxidase	s_1275 + 3 s_0794 + s_1203 + 4.83726e-06 prot_A2RIB7 -> 2 s_0803 + s_1198	noxE(Lactococcus lactis)	A2RIB7	1.6.99.3	57.4246	48.872	70.5		0.2	0.63 g/g	0.97 g/g	YEP		"PDC1,5,6"	"Production of pyruvate in Saccharomyces cerevisiae through adaptive evolution
and rational cofactor metabolic engineering;Directed evolution of pyruvate decarboxylase-negative Saccharomyces cerevisiae, yielding a C2-independent, glucose-tolerant, and pyruvate-hyperproducing yeast"
	2	transhydrogenase	s_1207 + s_1203 + 1.65442e-06 prot_P27306 -> s_1212 + s_1198	udhA(Escherichia coli)	P27306	1.6.1.1	167.9	51.56									
	2_REV	transhydrogenase	s_1212 + s_1198 + 3.04234e-05 prot_P27306 -> s_1207 + s_1203	udhA(Escherichia coli)	P27306	1.6.1.1	9.1304	51.56	"10.625 (The udhA Gene of Escherichia coli Encodes a Soluble Pyridine
Nucleotide Transhydrogenase)"								
	3	draw_prot_A2RIB7	48.872 prot_pool  -> prot_A2RIB7														
	4	draw_prot_P27306	51.56 prot_pool  -> prot_P27306														
																	
Adipic acid (based on eccis_Muconate model)	11	enoate reductase	s_4213 + s_1203 + 3 s_0794 + 3.31635e-05 prot_G2TQU6 -> s_4253 + s_1198	ERBC(Bacillus coagulans)	G2TQU6	1.3.1.31	8.376025	72.835	6.9	Clostridium sp.	0.1		0.0977 g/g	YEP			Biocatalytic production of adipic acid from glucose using engineered Saccharomyces cerevisiae
	12	draw_prot_G2TQU6	72.835 prot_pool  -> prot_G2TQU6														
	13	adipic acid transport	s_4253 -> s_4254														
	14	adipic acid exchange	s_4254 ->														
																	
Isobutanol	r_0016No1	2-aceto-2-hydroxybutanoate synthase (No1)	pmet_r_0016 + 1.72533e-05 prot_P25605 + 8.62664e-06 prot_P07342  -> s_0039 + s_0460 				32.2 (Kcat*2)				0.1	0.0073 g/g	0.0174 g/g	YEP	ILV2	"ALD6, BAT1"	Metabolic engineering of Saccharomyces cerevisiae for the production of isobutanol and 3-methyl-1-butanol
	r_0016No2	2-aceto-2-hydroxybutanoate synthase (No2)	pmet_r_0016 + 8.62664e-06 prot_P07342  -> s_0039 + s_0460 				32.2 (Kcat*2)								ILV2		
	r_0097No1	acetolactate synthase (No1)	3.45066e-05 prot_P25605 + 1.72533e-05  prot_P07342 + pmet_r_0097  -> s_0146 + s_0460 				16.1 (Kcat*2)								ILV2		
	r_0097No2	acetolactate synthase (No2)	1.72533e-05  prot_P07342 + pmet_r_0097  -> s_0146 + s_0460 				16.1 (Kcat*2)								ILV2		
	r_0352No1	"dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate) (No1)"	s_0016 + 5.55556e-06 prot_P39522  -> s_0233 + s_0807 				50 (Kcat*2)								ILV3		
	r_0353No1	"dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate) (No1)"	s_0008 + 5.55556e-06 prot_P39522  -> s_0060 + s_0807 				50 (Kcat*2)								ILV3		
	r_0096No1	acetohydroxy acid isomeroreductase (No1)	s_0146 + s_0799 + s_1214 + 7.58956e-06  prot_P06168  -> s_0016 + s_1210 				36.6 (Kcat*2)								ILV5		
	r_0669No1	ketol-acid reductoisomerase (2-aceto-2-hydroxybutanoate) (No1)	s_0039 + s_0799 + s_1214 + 0.000141723 prot_P06168  -> s_0008 + s_1210 				1.96 (Kcat*2)								ILV5		
	r_0854No1	phenylpyruvate decarboxylase (No1)	s_0794 + s_0951 + 2.43665e-07 prot_Q06408  -> s_0456 + s_1318 				1140 (Kcat*2)								ARO10		
	r_0163No1	alcohol dehydrogenase (ethanol to acetaldehyde) (No1)	s_0680 + s_1198 + 9.71251e-07 prot_P00331  -> s_0359 + s_0794 + s_1203 				286 (Kcat*2)								ADH2		
																	
3-Methyl-1-Butanol (based on ecIsobutanol model)	r_0024No1	2-isopropylmalate synthase (No1)	pmet_r_0024 + 1.00717e-05 prot_P06208  -> s_0162 + s_0529 + s_0794 				27.58 (Kcat*2)				0.1	0.0077 g/g	0.3165 g/g	YEP	LEU4		Metabolic engineering of Saccharomyces cerevisiae for the production of isobutanol and 3-methyl-1-butanol
	r_0025No1	2-isopropylmalate synthase (No1)	s_0233 + s_0376 + s_0807 + 1.00717e-05 prot_P06208  -> s_0164 + s_0532 + s_0799 				27.58 (Kcat*2)								LEU4		
																	
Naringenin	1	Phenylalanine ammonia-lyase	s_1032 + 0.000154321 prot_P35510 -> s_0419 + s_4219	PAL1 (Arabidopsis thaliana)	P35510	4.3.1.24	1.8	78.726			0.2	0.006 g/g	0.0002 g/g	Min		"ARO3, ARO4, ARO10, PDC5, PDC6"	De novo production of the flavonoid naringenin in engineered Saccharomyces cerevisiae
	2	Cinnamate-4-hydroxylase	s_0794 + s_1275 + s_4219 + s_1212 + 0.000161499 prot_P92994 -> s_0803 + s_1207 + s_4215	C4H (Arabidopsis thaliana)	P92994	1.14.13.11	1.72	57.792									
	3	Chalcone isomerase	s_0794 + s_4223 + prot_Q8VZW3 -> s_4221	CHI1 (Arabidopsis thaliana)	Q8VZW3	5.5.1.6	NA	23.332									
	4	Chalcone synthase	2 s_0794 + s_4216 + 3 s_1101 + 0.277778 prot_P13114 -> 4 s_0529 + 3 s_0456 + s_4223	CHS3 (Arabidopsis thaliana)	P13114	2.3.1.74	0.001	43.116									
	5	4-coumarate:CoA ligase	s_4215 + s_0434 + s_0529 + 0.000330688 prot_Q9S777 -> s_0633 + s_0423 + s_4216	4CL3 (Arabidopsis thaliana)	Q9S777	6.2.1.12	0.84	61.311									
	6	tyrosine ammonia-lyase	s_1051 + 1.00281e-05 prot_A0A1M4NET9 -> s_0419 + s_4215	TAL (Rhodobacter capsulatus)	A0A1M4NET9	4.3.1.23	27.7	55.539									
	7	3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	s_0551 + s_0803 + s_1360 + 3.51617e-05 prot_P32449ly  -> s_0349 + s_1322 	ARO4G226S (S. cerevisiae)	P32449ly	2.5.1.54	7.9	39.7487									
	8	draw_prot_P35510	78.726 prot_pool  -> prot_P35510														
	9	draw_prot_P92994	57.792 prot_pool  -> prot_P92994														
	10	draw_prot_Q8VZW3	23.332 prot_pool  -> prot_Q8VZW3														
	11	draw_prot_P13114	43.116 prot_pool  -> prot_P13114														
	12	draw_prot_Q9S777	61.311 prot_pool  -> prot_Q9S777														
	13	draw_prot_A0A1M4NET9	55.539 prot_pool  -> prot_A0A1M4NET9														
	14	draw_prot_P32449ly	39.7487 prot_pool  -> prot_P32449ly														
	15	naringenin transport	s_4221 -> s_4255														
	16	naringenin exchange	s_4255 ->														
																	
Catechin	1	Phenylalanine ammonia-lyase	s_1032 + 8.68056e-05 prot_P45724 -> s_0419 + s_4219	PAL2 (Arabidopsis thaliana)	P45724	4.3.1.24	3.2	77.86			0.1		0.0006 g/g	Min			De novo biosynthesis of anthocyanins in Saccharomyces cerevisiae
	2	Cinnamate-4-hydroxylase	s_0794 + s_1275 + s_4219 + s_1212 + 0.000161499 prot_Q84TQ4 -> s_0803 + s_1207 + s_4215	C4H (Ammi majus)	Q84TQ4	1.14.13.11	1.72	57.937		Arabidopsis thaliana							
	3	Chalcone isomerase	s_0794 + s_4223 + 4.13976e-10 prot_P28012 -> s_4221	CHI (Medicago sativa)	P28012Ê	5.5.1.6	671000	23.826									
	4	Chalcone synthase	2 s_0794 + s_4216 + 3 s_1101 +  0.00661376 prot_Q9FUB7 -> 4 s_0529 + 3 s_0456 + s_4223	CHS (Hypericum androsaemum)	Q9FUB7	2.3.1.74	0.042	42.713									
	5	4-coumarate:CoA ligase	s_4215 + s_0434 + s_0529 + 9.25926e-05 prot_Q9S725 -> s_0633 + s_0423 + s_4216	4CL2 (Arabidopsis thaliana)	Q9S725	6.2.1.12	3	60.842									
	6	flavonoid-3'-hydroxylase	s_0794 + s_1275 + s_4221 + s_1212 + 1.63399e-05 prot_Q9SBQ9 -> s_4256 + s_0803 + s_1207 	F3'H (Petunia x hybrida)	Q9SBQ9	1.14.14.82	17	56.936		Tagetes erecta							
	7	flavanone-3-hydroxylase	s_4256 + s_0180 + s_1275 + prot_Q06942 -> s_4257 + s_1458 + s_0456	F3H (Malus x domestica)	Q06942	1.14.11.9	NA	40.771									
