compound	bioYield_ec	prodYield_ec	prodRate_ec	bioYield_gem	prodYield_gem	prodRate_gem
L-methionine	0.483767870863022	0.658249883411552	1	0.488744722175621	0.658249883411867	1.00000000000046
L-phenylalanine	0.483767870863022	0.539333767215424	1	0.488744722175621	0.539333767215401	1
L-proline	0.483767870863023	0.960109239459709	1	0.488744722175621	0.960109239459709	1
L-serine	0.483767870863022	1	1	0.488744722175621	0.99999999999994	1
L-threonine	0.483767870863023	1	1	0.488744722175621	0.999999999999947	1
L-tryptophan	0.483767870863025	0.423617742163076	0.5	0.488744722175621	0.42361774216305	0.5
L-tyrosine	0.483767870863023	0.565641990803436	1	0.488744722175621	0.565641990803432	1
L-valine	0.483767870863024	0.986348292966366	1	0.488744722175621	0.986348292966924	1.00000000000011
ornithine	0.483767870863024	0.960110174853921	1.42696492968124	0.488744722172855	0.960110174853921	435.111764705882
Nicotianamine	0.483955459451274	0.00286227817026778	0.00287102894379681	NaN	NaN	NaN
ergothioneine	0.483767870863022	0.00256652793420513	0.00257427453817949	NaN	NaN	NaN
4-hydroxymandelic	0.485872821926513	0.594577089265916	4.21272291633279	NaN	NaN	NaN
cinnamate	0.483767870863023	0.539333767215424	4.35524824588558	NaN	NaN	NaN
mandelic	0.485872821926513	0.562142986300846	3.08554412346131	NaN	NaN	NaN
p-coumaric acid	0.483767870863025	0.145851790168841	0.145980597280722	NaN	NaN	NaN
rosmarinate	0.483767870863024	0.138201363556602	0.13822196155123	NaN	NaN	NaN
Salidroside	0.658510482641851	0.000491824999623525	0.000493736055589999	NaN	NaN	NaN
Tyrosol	0.65851048264185	0.000667995725744768	0.000670594953593413	NaN	NaN	NaN
vanillinbetaglucoside	0.483767870863019	0.00193846471170236	0.0019446195663654	NaN	NaN	NaN
_-ionone	0.483767870863024	0.00112563062990481	0.00112915438621892	NaN	NaN	NaN
putrescine	0.483767870863022	0.960110174853922	3.75028302794494	0.488744722172855	0.960110174853927	424.398245614035
spermine	0.483767870863023	0.296044404008626	0.516658736295438	0.488744722172855	0.296044404008625	109.354362416107
Free fatty acids	0.483767870863024	0.0327871746214077	0.16194281380503	NaN	NaN	NaN
laurate	0.483767870863022	0.247695342936065	0.719824127849542	0.488744722172855	0.252522567499519	72.2462686567167
oleate	0.483767870863021	0.186212725055132	0.527569203422171	0.488744722172855	0.186212725055136	69.5896276595746
palmitoleate	0.483767870863026	0.210676958274192	0.631648408619692	0.488744722172855	0.210676958275832	79.5793795620439
triacylglycerol	0.483767870863025	2.75135776416549e-05	0.000119367787247806	NaN	NaN	NaN
ergosterol	0.483767870863024	0.0982263398546378	0.109573975423754	0.488744722172855	0.0999695598930026	34.1711818181818
ARA	0.483767870863023	0.000436510039407558	0.000437847351982351	NaN	NaN	NaN
DHA	0.483767870863023	0.00036210496419252	0.000363187601911192	NaN	NaN	NaN
EPA	0.483767870863028	0.000362697071388666	0.000363806655350039	NaN	NaN	NaN
catechin	0.483767870863025	0.00248918681178734	0.00249686474877941	NaN	NaN	NaN
genistein	0.483767870863022	0.00168175342434559	0.00168703116750991	NaN	NaN	NaN
kaempferol	0.483767870863024	0.00229083008554976	0.00229788228683272	NaN	NaN	NaN
naringenin	0.483767870863025	0.00290539260968437	0.00291431871929128	NaN	NaN	NaN
quercetin	0.483767870863025	0.00229072929359575	0.00229778839548678	NaN	NaN	NaN
(S)-lactate	0.487139936629343	1.999998	56.6164004638093	NaN	NaN	NaN
(S)-malate	0.483767870863023	1.4999985	52.0080316931737	0.488744722172855	1.49999850000005	882.300000000001
2-oxoglutarate	0.483767870863023	1.15822246523522	15.7616177525233	0.488744722172855	1.15822246523516	492.069230769231
acetate	0.48376787086302	2.49990703349013	44.7269115796128	0.488744722172855	2.49990703348977	1000
citrate	0.483767870863022	1	20.0469589638695	0.488744722172855	0.99999899999977	427.131818181818
fumarate	0.483767870863016	1.4999985	51.6372548444682	0.488744722172855	1.49999850000005	820.089285714286
glycolate	0.483767870863023	2.48853204541145	16.5253201601348	NaN	NaN	NaN
hexanoate	0.483767870863023	0.0928326691000856	0.0928603954817274	0.488744722172855	0.332872291709563	63.3336448598131
pyruvate	0.766480993373109	2	173.18998437955	0.488744722172855	1.9999979999999	1000
3-hydroxypropanoate	0.485498320276756	1.76275796409327	18.8160377909964	NaN	NaN	NaN
3-hydroxypropanoate	0.483767870863023	1.58795327106862	11.6509969188086	NaN	NaN	NaN
Adipic acid	0.483767870863023	0.805485056934882	20.2565595781062	NaN	NaN	NaN
cis,cis-muconate	0.483767870863026	0.821612202558225	28.843522431454	NaN	NaN	NaN
Itaconic acid	0.483767870863021	1.0811678340999	1.57471500051969	NaN	NaN	NaN
caffeicacid	0.483767870863024	0.00177327698209168	0.00177893177995963	NaN	NaN	NaN
succinate	0.483767870863022	1.4999985	31.1264509490722	0.488744722172855	1.4999985	960.015544041451
resveratrol	0.483767870863025	0.0243912622920913	0.0244399448440711	NaN	NaN	NaN
astaxanthin	0.483767870863024	0.000399411025160248	0.000400671955356171	NaN	NaN	NaN
betaxanthin	0.483767870863023	0.00361499136124437	0.00362619569728031	NaN	NaN	NaN
_-carotene	0.483767870863022	0.000847388671488414	0.000850003909723724	NaN	NaN	NaN
artemisinic acid	0.483767870863019	0.220821872284899	0.356884108356297	NaN	NaN	NaN
alpha-Farnesene	0.483767870863022	0.210528131092459	0.210877592723747	NaN	NaN	NaN
amorphadiene	0.483767870863026	0.230351122273756	0.461790531959242	NaN	NaN	NaN
Geraniol	0.483767870863023	0.345526683410634	0.72918933251803	NaN	NaN	NaN
Limonene	0.483767870863023	0.3446251971753	0.452897972444213	NaN	NaN	NaN
linalool	0.483767870863025	0.192572222663063	0.192575091294686	NaN	NaN	NaN
lupeol	0.483767870863024	0.00117731457146889	0.00118093616488145	NaN	NaN	NaN
Oleanolic acid	0.483767870863023	0.00185740771847539	0.00186294923072842	NaN	NaN	NaN
patchoulol	0.483767870863024	0.0024668900949903	0.00247447369543352	NaN	NaN	NaN
protopanaxadiol	0.483767870863022	0.000712232867282677	0.000714462722910059	NaN	NaN	NaN
Santalene	0.483767870863022	0.226729950995226	0.242131517443272	NaN	NaN	NaN
_-Amyrin	0.483767870863023	0.113616847932371	0.165929072414011	NaN	NaN	NaN
glycyrrhetinic_acid	0.483767870863024	0.000881906458969447	0.000884650715899347	NaN	NaN	NaN
lycopene	0.483767870863025	0.000618352942486848	0.000620272952277282	NaN	NaN	NaN
miltiradiene	0.483767870863023	0.000645902351620966	0.000647948419242844	NaN	NaN	NaN
nootkatone	0.483767870863021	0.0165890453513442	0.0166263968840206	NaN	NaN	NaN
squalene	0.484248460264908	0.114433901614928	0.266089110074925	NaN	NaN	NaN
taxadien_5alpha_yl_acetate	0.483767870863024	0.00180805038308274	0.00181347952516851	NaN	NaN	NaN
valencene	0.483767870863026	0.0165965529400197	0.0166339141606158	NaN	NaN	NaN
