compound	Prod_FC	family	Prot_cost
succinate	0.0481904764039509	organic acid	0.0188159036312704
resveratrol	0.998008074392542	stilbenoids	4.24809795852066
astaxanthin	0.996852966648835	terpene	259.399779483451
betaxanthin	0.996910167828298	terpene	28.662998917163
_-carotene	0.996923266285994	terpene	122.274584884628
artemisinic acid	0.616518243073831	terpene	0.461472516381642
alpha-Farnesene	0.997680861981271	terpene	0.481151099455717
amorphadiene	0.32593077000594	terpene	0.27187022682077
Geraniol	0.454390177158965	terpene	0.219573276857526
Limonene	0.76093340695569	terpene	0.300663634479788
linalool	0.999985103828315	terpene	0.538065511816152
lupeol	0.99693346803292	terpene	87.8973728969599
Oleanolic acid	0.997025861267554	terpene	55.6774564991103
patchoulol	0.996935305964574	terpene	41.9915142978812
protopanaxadiol	0.996879052252123	terpene	145.352482304921
Santalene	0.913248195086726	terpene	0.456186684730706
_-Amyrin	0.657399600019476	terpene	0.884402215081513
glycyrrhetinic_acid	0.996897920410192	terpene	117.49145331111
lycopene	0.996904578351955	terpene	167.560151185941
miltiradiene	0.996842241032423	terpene	160.407914767161
nootkatone	0.997755228920328	terpene	6.23471941334199
squalene	0.253509461445327	terpene	0.905251526126881
taxadien_5alpha_yl_acetate	0.997006322169427	terpene	57.2834938854865
valencene	0.99776608140443	terpene	6.1652325636585
