Name	Formula	KEGG ID	CHEBI ID	MW	Group	class	ecModel
Free fatty acids				396.64836	native	fatty acids and lipids	ecFFAs.mat
laurate 	C12H23O2	C02679	18262	199.31	native	fatty acids and lipids	ecLaurate.mat
oleate 	C18H34O2	C00712	16196	282.4614	native	fatty acids and lipids	ecOleate.mat
palmitoleate 	C16H29O2	C08362	32372	253.40026	native	fatty acids and lipids	ecPalmitoleate.mat
succinate 	C4H4O4	C00042	30031	116.07216	native	fatty acids and lipids	ecSuc-reTCA.mat
triacylglycerol 	C6H5O6R3	C00422	17855	173.1003	native	fatty acids and lipids	ectriacylglycerol.mat
guanine 	C5H5N5O	C00242	16235	151.126	native	nucleic acid	ecGuanine.mat
thymidine 	C10H14N2O5	C00214	17748	242.2286	native	nucleic acid	ecThymidine.mat
(S)-lactate 	C3H6O3	C00186	16651	89.07	native	organic acid	ecLactate.mat
(S)-malate 	C4H6O5	C00149	15589	132.07156	native	organic acid	ecMalate.mat
2-oxoglutarate 	C5H6O5	C00026	16810	144.08226	native	organic acid	ecOxoglutarate.mat
acetate 	C2H4O2	C00033	15366	60.052	native	organic acid	ecAcetate.mat
citrate 	C6H8O7	C00158	16947	189.0997	native	organic acid	ecCitrate.mat
fumarate 	C4H4O4	C00122	18012	116.0722	native	organic acid	ecFumaric_acid.mat
glycolate 	C2H4O3	C00160	17497	76.05136	native	organic acid	ecGlycolate.mat
hexanoate 	C6H12O2	C01585	17120	115.15034	native	organic acid	ecHexanoate.mat
pyruvate 	C3H3O3	C00022	15361	87.05412	native	organic acid	ecPyruvate.mat
acetaldehyde 	C2H4O	C00084	15343	44.05256	native	other	ecAcetaldehyde.mat
urea 	CH4N2O	C00086	16199	60.05534	native	other	ecUrea.mat
ergosterol 	C28H44O	C01694 	16933	396.64836	native	other	ecErgosterol.mat
L-phenylacetylcarbinol 	C9H10O2			1	heterologous	alcohol	ecL_PAC.mat
n-butanol 	C4H10O	C06142	28885	1	heterologous	alcohol	ecn-Butanol.mat
(S)-Reticuline 	C19H23NO4	C02105	16718	1	heterologous	alkaloid	ec(S)-reticuline.mat
psilocybin 	C12H17N2O4P	C07576	8614	284.248101	heterologous	alkaloid	ecPsilocybin.mat
Nicotianamine 	C12H21N3O6	C05324	17721	1	heterologous	amino acid	ecNicotianamine.mat
4-hydroxymandelic 	C8H8O4	C11527	16388	1	heterologous	aromatic	ec4-hydroxymandelic_acid.mat
cinnamate 	C9H8O2	C00423	15669Ê	1	heterologous	aromatic	ecCinnamate.mat
mandelic 	C8H8O3	C01984	17756	1	heterologous	aromatic	ecmandelic_acid.mat
p-coumaric acid 	C9H8O3	C00811	32374	1	heterologous	aromatic	ecCoumaric_acid.mat
rosmarinate 	C18H16O8	C01850	50371	1	heterologous	aromatic	ecRosmarinic_acid.mat
Salidroside 	C14H20O7	C06046	9009	1	heterologous	aromatic	ecSalidroside.mat
Tyrosol 	C8H10O2	C06044	1879	1	heterologous	aromatic	ecTyrosol.mat
vanillinbetaglucoside				1	heterologous	aromatic	ecvanillin_beta_glucoside.mat
ARA 	C20H32O2	C00219Ê	15843	1	heterologous	fatty acids and lipids	ecARA.mat
DHA 	C22H32O2	C06429	28125	1	heterologous	fatty acids and lipids	ecDHA.mat
EPA 	C20H30O2	C06428	28364	1	heterologous	fatty acids and lipids	ecEPA.mat
docosanol 	C22H46O	D03884	31000	1	heterologous	alcohol	ecDocosanol.mat
catechin 	C15H14O6	C06562	15600	1	heterologous	flavonoid	ecCatechin.mat
genistein 	C15H10O5	C06563	28088	1	heterologous	flavonoid	ecGenistein.mat
kaempferol 	C15H10O6	C05903	28499	1	heterologous	flavonoid	ecKaempferol.mat
naringenin 	C15H12O5	C00509	17846	1	heterologous	flavonoid	ecNaringenin.mat
quercetin 	C15H10O7	C00389	16243	1	heterologous	flavonoid	ecQuercetin.mat
astaxanthin 	C40H52O4	C08580	40968	1	heterologous	terpene	ecAstaxanthin.mat
betaxanthin 	C18H18N2O7	C08565	8341	1	heterologous	terpene	ecBetaxanthin.mat
_-carotene 	C40H56	C02094	17579	1	heterologous	terpene	ecbeta_Carotene.mat
artemisinic acid 	C15H22O2	C20309	63749	1	heterologous	terpene	ecArtemisinic_acid.mat
3-hydroxypropanoate 	C3H6O3	C01013	16510	1	heterologous	organic acid	ec3HP-asp.mat
3-hydroxypropanoate 	C3H6O3	C01013	16510	1	heterologous	organic acid	ec3HP-malcoa.mat
Adipic acid 	C6H10O4	D08839Ê	30832	1	heterologous	organic acid	ecAdipic_acid.mat
"cis,cis-muconate "	C6H6O4	C02480	16508	1	heterologous	organic acid	eccis_Muconate.mat
Itaconic acid 	C5H6O4	C00490	17240	1	heterologous	organic acid	ecItaconic_acid.mat
Ethylene 	C2H4	C06547	18153	1	heterologous	other	ecEthylene.mat
"1,3,5-trihydroxyxanthone "	C13H8O5	C10094	514	1	heterologous	other	ecXanthone.mat
glucagon 	C153H225N43O49S	C01501	5391	1	heterologous	protein	ecGlucagon.mat
Human Serum Albumin				1	heterologous	protein	ecHSA.mat
hemoglobin 		C01708Ê	5656	1	heterologous	protein	ecHemoglobin.mat
lactase 		EC 3.2.1.23		1	heterologous	protein	ecLactase.mat
_-Amylase 	-	ECÊ3.2.1.1	-	1	heterologous	protein	ecalpha_Amylase.mat
resveratrol 	C14H12O3	C03582	27881	1	heterologous	other	ecResveratrol.mat
alpha-Farnesene 	C15H24	C09665	10280	1	heterologous	terpene	ecFarnesene.mat
amorphadiene 	C15H24	C16028	52026	1	heterologous	terpene	ecAmorphadiene.mat
Geraniol 	C10H18O	C01500	17447	1	heterologous	terpene	ecGeraniol.mat
Limonene 	C10H16	C06078	15384	1	heterologous	terpene	ecLimonene.mat
linalool 	C10H18O	C03985	17580	1	heterologous	terpene	ecLinalool.mat
lupeol 	C30H50O	C08628	6570	1	heterologous	terpene	ecLupeol.mat
Oleanolic acid 	C30H48O3	C17148	37659	1	heterologous	terpene	ecOleanolate.mat
patchoulol 	C15H26O	C19755	7940	1	heterologous	terpene	ecPatchoulol.mat
protopanaxadiol 	C30H52O3	C20715Ê	75950	1	heterologous	terpene	ecProtopanaxadiol.mat
Santalene 	C15H24	C19736		1	heterologous	terpene	ecSantalene.mat
_-Amyrin 	C30H50O	C08616	10352	1	heterologous	terpene	ecbeta_Amyrin.mat
_-ionone 	C13H20O	C12287	32325	1	heterologous	terpene	ecbeta_Ionone.mat
