genes	enzymes	shortNames	MWs	actions	k_scores
YHR216W	P38697	IMD2	56.52936	1	6.19561974601084
YLR432W	P50095	IMD3	56.58423	1	6.19561974601084
YMR217W	P38625	GUA1	58.48154	1	6.19561974601084
YML056C	P50094	IMD4	56.39328	1	6.19561974601084
YPR035W	P32288	GLN1	41.7656	1	4.36368873299821
YER023W	P32263	PRO3	30.13145	1	3.72911729728627
YLR155C	P0CZ17	ASP3-1	38.6862	1	3.5524145901312
YLR157C	P0CX77	ASP3-2	38.6862	1	3.5524145901312
YLR158C	P0CX78	ASP3-3	38.6862	1	3.5524145901312
YLR160C	P0CX79	ASP3-4	38.6862	1	3.5524145901312
YKL085W	P17505	MDH1	35.64959	1	2.90008779267367
YNR001C	P00890	CIT1	53.35945	1	2.15254567938782
YPR001W	P43635	CIT3	53.81073	1	2.15254567938782
YGR254W	P00924	ENO1	46.81564	1	1.99652036092795
YHR174W	P00925	ENO2	46.91368	1	1.99652036092795
YKL152C	P00950	GPM1	27.60828	1	1.99652036092795
YMR323W	P42222	ERR3	47.31216	1	1.99652036092795
YOR393W	P0CX10	ERR1	47.32712	1	1.99652036092795
YPL281C	P0CX11	ERR2	47.32712	1	1.99652036092795
YOR283W	Q12040	YOR283W	26.17622	1	1.99652036092795
YMR241W		YHM2	NaN	1	1.2956639232115
YLL052C		AQY2	NaN	1	1.0735178337582
YPR192W		AQY1	NaN	1	1.0735178337582
YBR196C	P12709	PGI1	61.29832	1	1.06212565099428
YDR050C	P00942	TPI1	26.79508	1	1.04080710483006
YGR240C	P16861	PFK1	107.96906	1	1.03157461629223
YKL060C	P14540	FBA1	39.62024	1	1.03157461629223
YMR205C	P16862	PFK2	104.61673	1	1.03157461629223
YDR516C	Q04409	EMI2	55.92028	1	1.00082753764679
YPR113W	P06197	PIS1	24.82338	0	0.152388500154157
YER141W	P40086	COX15	54.65792	0	0.149704166666667
YOR388C	Q08911	FDH1	41.7138	0	0.141967442192181
YLR153C	P52910	ACS2	75.49079	0	0.114947690389181
YAL054C	Q01574	ACS1	79.13997	0	0.114947690389181
YDR384C		ATO3	NaN	0	0.0626585521745443
YGR121C		MEP1	NaN	0	0.0626585521745443
YNL142W		MEP2	NaN	0	0.0626585521745443
YPR138C		MEP3	NaN	0	0.0626585521745443
YGL080W		MPC1	NaN	0	0.0400793320302862
YGR243W		MPC3	NaN	0	0.0400793320302862
YHR162W		MPC2	NaN	0	0.0400793320302862
YOL126C	P22133	MDH2	40.7305	0	0.0371651439125517
YGR209C	P22803	TRX2	11.20376	0	0.0304999999999999
YAL062W	P39708	GDH3	49.62653	0	0.0298997206763856
YOR375C	P07262	GDH1	49.56931	0	0.0298997206763856
YKL069W	P36088	YKL069W	19.73402	0	0.0272630281287574
YML082W	Q04533	YML082W	74.31247	0	0.0185219373644869
YLL058W	Q12198	YLL058W	64.22244	0	0.0177511355605126
YJR130C	P47164	STR2	72.34965	0	0.0131263247366666
YHR002W		LEU5	NaN	0	0.0108146911069996
YAL012W	P31373	CYS3	42.5416	0	0
YAL038W	P00549	CDC19	54.54404	0	0
YBR115C	P07702	LYS2	155.34394	0	0
YBR218C	P32327	PYC2	130.16549	0	0
YCL009C	P25605	ILV6	33.98652	0	0
YCL018W	P04173	LEU2	38.95257	0	0
YCL040W	P17709	GLK1	55.37689	0	0
YCL050C	P16550	APA1	36.49211	0	0
YCR053W	P16120	THR4	57.47349	0	0
YDL066W	P21954	IDP1	48.18986	0	0
YDL131W	Q12122	LYS21	48.59372	0	0
YDR158W	P13663	HOM2	39.54334	0	0
YDR234W	P49367	LYS4	75.14989	0	0
YDR300C	P32264	PRO1	47.16164	0	0
YDR353W	P29509	TRR1	34.23767	0	0
YER052C	P10869	HOM3	58.10913	0	0
YER069W	Q01217	ARG5,6	94.86823	0	0
YER152C	P10356	YER152C	49.48976	0	0
YFR053C	P04806	HXK1	53.73784	0	0
YGL009C	P07264	LEU1	85.79356	0	0
YGL062W	P11154	PYC1	130.09827	0	0
YGL154C	P50113	LYS5	30.68281	0	0
YGL184C	P53101	STR3	51.82796	0	0
YGL253W	P04807	HXK2	53.9419	0	0
YGR087C	P26263	PDC6	61.57964	0	0
YHR018C	P04076	ARG4	51.9886	0	0
YHR025W	P17423	THR1	38.71215	0	0
YIL094C	P40495	LYS12	40.06854	0	0
YIR034C	P38998	LYS1	41.46445	0	0
YJL060W	P47039	BNA3	50.08168	0	0
YJL088W	P05150	ARG3	37.84479	0	0
YJR016C	P39522	ILV3	62.86049	0	0
YJR139C	P31116	HOM6	38.50163	0	0
YKL001C	Q02196	MET14	23.06018	0	0
YLR043C	P22217	TRX1	11.23485	0	0
YLR044C	P06169	PDC1	61.49468	0	0
YLR355C	P06168	ILV5	44.36792	0	0
YMR062C	Q04728	ARG7	47.84821	0	0
YMR108W	P07342	ILV2	74.93608	0	0
YMR267W	P28239	PPA2	35.57213	0	0
YNL037C	P28834	IDH1	39.32357	0	0
YNL104C	P06208	LEU4	68.40819	0	0
YNR050C	P38999	LYS9	48.91735	0	0
YOL058W	P22768	ARG1	46.92715	0	0
YOL064C	P32179	MET22	39.14886	0	0
YOL140W	P18544	ARG8	46.68082	0	0
YOR130C		ORT1	NaN	0	0
YOR136W	P28241	IDH2	39.73903	0	0
YOR323C	P54885	PRO2	49.73991	0	0
YOR347C	P52489	PYK2	55.19478	0	0
YPL061W	P54115	ALD6	54.41344	0	0
YPL092W		SSU1	NaN	0	0
YPR167C	P18408	MET16	30.3799	0	0
YFR055W	P43623	IRC7	36.97108	0	0
YLR446W	Q06204	YLR446W	48.96875	0	0
YJL200C	P39533	ACO2	86.58224	0	0
