genes	enzymes	shortNames	MWs	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage	unique	conectivity	groups	priority
YDL067C	P07255	COX9	6.96313	2	1.84695793277844	tightly_const	2	6.66072297986479e-06	6.66120426448086e-06	6.66074299780114e-06	0	7	9	1
YDR529C	P00128	QCR7	14.56466	2	1.84695793277844	tightly_const	2	2.09963807929296e-05	2.09964530591605e-05	2.09964439141636e-05	0	6	8	1
YEL024W	P08067	RIP1	23.36479	2	1.84695793277844	tightly_const	2	2.09963807929296e-05	2.09964530591605e-05	2.09964439141636e-05	0	6	8	1
YFR033C	P00127	QCR6	17.25682	2	1.84695793277844	tightly_const	2	2.09963807929296e-05	2.09964530591605e-05	2.09964439141636e-05	0	6	8	1
YGL187C	P04037	COX4	17.1424	2	1.84695793277844	tightly_const	2	6.66072292328756e-06	6.66074589888646e-06	6.66074299780114e-06	0	7	11	1
YGL191W	P32799	COX13	15.02097	2	1.84695793277844	tightly_const	2	6.66072292328756e-06	6.66074589888646e-06	6.66074299780114e-06	0	7	11	1
YGR183C	P22289	QCR9	7.47622	2	1.84695793277844	tightly_const	2	2.09963807929296e-05	2.09964530591605e-05	2.09964439141636e-05	0	6	8	1
YHR001W-A	P37299	QCR10	8.59285	2	1.84695793277844	tightly_const	2	2.09963807929296e-05	2.09964530591605e-05	2.09964439141636e-05	0	6	8	1
YHR051W	P00427	COX6	17.34139	2	1.84695793277844	tightly_const	2	6.66072292328756e-06	6.66074589888646e-06	6.66074299780114e-06	0	7	11	1
YIL111W	P00425	COX5B	17.1965	2	1.84695793277844	tightly_const	2	6.66072292328756e-06	6.66074589888646e-06	6.66074299780114e-06	0	7	11	1
YJL166W	P08525	QCR8	10.97437	2	1.84695793277844	tightly_const	2	2.09963807929296e-05	2.09964530591605e-05	2.09964439141636e-05	0	6	8	1
YLR038C	Q01519	COX12	9.78778	2	1.84695793277844	tightly_const	2	6.66072292328756e-06	6.66074589888646e-06	6.66074299780114e-06	0	7	11	1
YLR395C	P04039	COX8	8.90656	2	1.84695793277844	tightly_const	2	1.33214292296976e-05	1.33214751539934e-05	1.33214693664021e-05	0	7	11	1
YMR256C	P10174	COX7	6.9323	2	1.84695793277844	tightly_const	2	6.66072292328756e-06	6.66074589888646e-06	6.66074299780114e-06	0	7	11	1
YOR065W	P07143	CYT1	34.05423	2	1.84695793277844	tightly_const	2	2.09963807929296e-05	2.09964530591605e-05	2.09964439141636e-05	0	6	8	1
YPR191W	P07257	QCR2	40.47764	2	1.84695793277844	tightly_const	2	2.09963807929296e-05	2.09964530591605e-05	2.09964439141636e-05	0	6	8	1
Q0080	P00856	ATP8	5.82221	2	1.77666586484608	tightly_const	2	2.6101457673371e-05	2.61018291717139e-05	2.61015028174676e-05	0	7	13	1
Q0085	P00854	ATP6	29.09876	2	1.77666586484608	tightly_const	2	2.6101457673371e-05	2.61018291717139e-05	2.61015028174676e-05	0	7	13	1
Q0130	P61829	OLI1	7.75937	2	1.77666586484608	tightly_const	2	0.000261014604339908	0.000261019131714027	0.000261015028174676	0	7	13	1
YBL099W	P07251	ATP1	58.60746	2	1.77666586484608	tightly_const	2	8.03125444806835e-06	8.03238153812296e-06	8.03125158576476e-06	0	7	13	1
YBR039W	P38077	ATP3	34.35021	2	1.77666586484608	tightly_const	2	2.6101457673371e-05	2.61018291717139e-05	2.61015028174676e-05	0	7	13	1
YDL004W	Q12165	ATP16	17.02022	2	1.77666586484608	tightly_const	2	2.6101457673371e-05	2.61018291717139e-05	2.61015028174676e-05	0	7	13	1
YDR298C	P09457	ATP5	22.81414	2	1.77666586484608	tightly_const	2	2.6101457673371e-05	2.61018291717139e-05	2.61015028174676e-05	0	7	13	1
YDR322C-A	P81449	TIM11	10.87534	2	1.77666586484608	tightly_const	2	2.6101457673371e-05	2.61018291717139e-05	2.61015028174676e-05	0	7	13	1
YDR377W	Q06405	ATP17	11.312	2	1.77666586484608	tightly_const	2	2.6101457673371e-05	2.61018291717139e-05	2.61015028174676e-05	0	7	13	1
YJR121W	P00830	ATP2	54.7932	2	1.77666586484608	tightly_const	2	8.03125444806835e-06	8.03238153812296e-06	8.03125158576476e-06	0	7	13	1
YKL016C	P30902	ATP7	19.80938	2	1.77666586484608	tightly_const	2	2.6101457673371e-05	2.61018291717139e-05	2.61015028174676e-05	0	7	13	1
YML081C-A	P81450	ATP18	6.68769	2	1.77666586484608	tightly_const	2	2.6101457673371e-05	2.61018291717139e-05	2.61015028174676e-05	0	7	13	1
YPL078C	P05626	ATP4	26.92481	2	1.77666586484608	tightly_const	2	2.6101457673371e-05	2.61018291717139e-05	2.61015028174676e-05	0	7	13	1
YPL271W	P21306	ATP15	6.7425	2	1.77666586484608	tightly_const	2	2.6101457673371e-05	2.61018291717139e-05	2.61015028174676e-05	0	7	13	1
YPR020W	Q12233	ATP20	12.92094	2	1.77666586484608	tightly_const	2	2.6101457673371e-05	2.61018291717139e-05	2.61015028174676e-05	0	7	13	1
YOL077W-A	P81451	ATP19	7.53367	2	1.77666586484608	tightly_const	2	2.6101457673371e-05	2.61018291717139e-05	2.61015028174676e-05	1	4	0	1
YLR295C	Q12349	ATP14	14.12765	2	1.77666586484598	tightly_const	2	2.6101457673371e-05	2.61018291717139e-05	2.61015028174676e-05	0	7	13	1
YDR516C	Q04409	EMI2	55.92028	2	1.00066848616408	tightly_const	2	1.85661695137939e-07	1.86180748604085e-07	1.86178000000186e-07	1	4	0	1
YPL023C	P46151	MET12	73.94088	0	0.293884450454309	subOpt_isoenz	0	0	1.40926430134096e-08	0	0	6	16	2
YDR502C	P19358	SAM2	42.2555	0	0.293827460547136	subOpt_isoenz	0	0	2.94117062224243e-09	0	0	7	17	2
YBR218C	P32327	PYC2	130.16549	0	0.27261619054949	subOpt_isoenz	0	0	5.14414684425796e-07	0	0	8	18	2
YBL039C	P28274	URA7	64.70953	0	0.258201785040245	subOpt_isoenz	0	0	3.65622902523661e-08	0	0	12	19	2
YCL040W	P17709	GLK1	55.37689	0	0	subOpt_isoenz	0	0	2.7084178410131e-09	0	1	6	0	2
YER081W	P40054	SER3	51.1927	0	0	subOpt_isoenz	0	0	6.37976921961316e-08	0	0	6	21	2
YLR438W	P07991	CAR2	46.08557	0	0	subOpt_isoenz	0	0	2.17964539113627e-11	0	1	4	0	2
YMR246W	P47912	FAA4	77.26612	0	0	subOpt_isoenz	0	0	1.92644778154122e-09	0	1	48	0	2
YOL126C	P22133	MDH2	40.7305	0	0	subOpt_isoenz	0	0	3.28025779385412e-09	0	1	5	0	2
YOR317W	P30624	FAA1	77.86529	0	0	subOpt_isoenz	0	0	1.90846154440039e-09	0	1	52	0	2
YLR446W	Q06204	YLR446W	48.96875	0	0	subOpt_isoenz	0	0	2.53444598103815e-09	0	1	20	0	2
YJR069C	P47119	HAM1	22.09268	1	1000	opt_isoenz	2	0	5.78185335970366e-09	1.5728024228112e-10	1	16	0	3
YDR452W	Q04119	PPN1	78.34335	1	1000	opt_isoenz	2	0	1.56480531904485e-09	1.59461388661699e-12	1	11	0	3
YNL036W	P53615	NCE103	24.85889	1	5.74400941314714	opt_isoenz	2	0	5.00022129968905e-09	6.00539287045975e-10	1	4	0	3
YER070W	P21524	RNR1	99.56021	0	0	subOpt_isoenz	0	0	1.30437551788979e-09	0	0	24	20	3
YFR053C	P04806	HXK1	53.73784	0	0	subOpt_isoenz	0	0	2.81054672554308e-09	0	0	12	22	3
YGL253W	P04807	HXK2	53.9419	0	0	subOpt_isoenz	0	0	2.48346699351503e-09	0	0	12	22	3
YGR180C	P49723	RNR4	40.05407	0	0	subOpt_isoenz	0	0	3.58180919386642e-09	0	0	24	20	3
YIL066C	P21672	RNR3	97.51369	0	0	subOpt_isoenz	0	0	1.33693243669047e-09	0	0	24	20	3
