models	chemClass	cand_1_total	cand_1_OE	cand_1_dR	cand_1_del	cand_2_total	cand_2_OE	cand_2_dR	cand_2_del	cand_3_total	cand_3_OE	cand_3_dR	cand_3_del
ecnaringenin	flavonoid	124	15	76	26	36	8	13	14	32	5	13	14
ecnicotianamine	amino acid	123	20	75	21	36	11	14	10	23	2	11	10
ecnootkatone	terpene	126	21	79	19	35	12	13	9	26	7	10	9
ecoleanolate	terpene	113	13	74	19	30	6	14	9	22	2	11	9
ecoleate	fatty acids and lipids	46	14	20	4	29	8	14	4	9	8	1	0
ecornithine	amino acid	76	33	25	10	39	14	13	9	22	1	12	9
ecoxoglutarate	organic acid	107	37	24	38	58	26	6	18	24	0	6	18
ecpalmitoleate	fatty acids and lipids	42	15	17	0	23	8	11	0	10	10	0	0
ecpatchoulol	terpene	112	12	74	19	29	5	14	9	21	1	11	9
ecphenylalanine	amino acid	42	18	18	4	18	11	4	1	10	8	1	1
ecphenylethanol	alcohol	48	15	23	8	25	13	7	3	13	9	3	1
ecproline	amino acid	69	29	30	0	40	25	9	0	20	15	5	0
ecprotopanaxadiol	terpene	114	13	74	20	29	6	14	8	21	2	11	8
ecpsilocybin	alkaloid	113	15	72	19	27	8	11	7	13	9	4	0
ecputrescine	bioamine	75	32	35	1	46	24	14	1	22	15	7	0
ecpyruvate	organic acid	92	24	43	15	42	23	6	3	14	8	6	0
ecquercetin	flavonoid	117	19	72	19	32	12	12	7	24	8	9	7
ecresveratrol	stilbenoids	121	12	80	21	35	8	11	14	29	4	11	14
ecrosmarinic_acid	aromatic	65	17	25	15	37	13	10	12	32	10	10	12
ecrrbutanediol	alcohol	103	5	89	2	29	5	17	0	14	0	14	0
ecs_reticuline	alkaloid	117	19	72	19	31	12	11	7	22	7	8	7
ecsalidroside	aromatic	170	13	76	76	83	8	11	64	78	3	11	64
ecsantalene	terpene	53	22	13	15	19	12	7	0	13	11	2	0
ecserine	amino acid	62	19	21	20	23	9	8	4	9	0	5	4
ecspermine	bioamine	79	39	23	7	43	20	11	7	38	21	10	7
ecsqualene	terpene	49	19	12	15	22	13	9	0	15	11	4	0
ecsuccinate	organic acid	94	32	25	26	59	21	9	18	28	1	9	18
ectaxadien_alpha_yl_acetate	terpene	121	16	78	20	30	9	13	7	22	5	10	7
ecthreonine	amino acid	56	21	23	2	35	14	13	2	12	0	10	2
ectriacylglycerol	fatty acids and lipids	7	2	0	4	5	2	0	3	1	0	0	1
ectryptophan	amino acid	52	22	17	6	27	14	7	6	14	1	7	6
ectyrosine	amino acid	47	18	18	9	18	10	4	2	6	0	4	2
ectyrosol	aromatic	161	11	76	69	75	7	11	57	68	0	11	57
ecvalencene	terpene	131	19	79	26	40	10	13	16	31	5	10	16
ecvaline	amino acid	96	22	64	1	34	13	16	0	13	0	13	0
ecvanillin_beta_glucoside	aromatic	118	15	77	19	30	8	14	7	22	4	11	7
ecxanthine	alkaloid	105	32	19	6	63	13	10	6	52	40	6	6
